id_booking,is_cancelled
47,0
132,0
164,0
171,0
178,0
205,1
232,0
235,1
237,1
240,0
258,0
291,0
317,0
337,0
356,1
357,1
385,0
386,1
408,1
412,1
478,0
499,0
503,0
523,0
533,0
573,0
575,0
583,0
588,0
599,1
655,0
674,0
762,0
810,0
840,0
865,1
895,0
938,1
960,0
963,0
972,1
993,1
1033,1
1085,1
1101,1
1140,1
1155,1
1156,0
1195,1
1223,1
1234,0
1236,1
1237,1
1249,0
1252,0
1288,0
1296,0
1298,0
1309,1
1315,0
1349,0
1408,0
1422,0
1425,0
1427,0
1428,1
1437,1
1439,0
1458,1
1472,0
1487,1
1491,1
1551,0
1591,1
1639,1
1648,0
1649,0
1699,1
1770,0
1789,0
1801,0
1817,0
1863,1
1933,1
1969,0
1981,0
2016,0
2022,0
2023,0
2027,0
2046,1
2057,1
2077,0
2099,0
2103,0
2120,0
2144,0
2166,1
2171,0
2190,1
2201,0
2250,0
2265,0
2295,0
2303,1
2334,0
2356,0
2387,0
2388,0
2425,0
2429,1
2435,0
2465,0
2473,0
2475,1
2476,0
2488,0
2489,0
2518,0
2520,0
2575,0
2583,0
2604,0
2649,1
2671,1
2672,1
2691,0
2697,0
2710,0
2717,0
2774,1
2780,0
2789,1
2816,0
2834,0
2877,1
2908,0
2912,0
2930,0
2933,0
2962,0
2976,0
2994,1
3002,0
3011,1
3015,1
3024,1
3030,0
3031,0
3046,0
3096,1
3135,0
3145,0
3155,0
3157,1
3195,0
3207,0
3232,0
3246,0
3250,0
3252,0
3281,0
3284,1
3332,0
3390,1
3392,1
3425,1
3433,1
3448,0
3478,1
3480,1
3527,0
3549,1
3604,1
3612,1
3650,0
3658,0
3681,0
3698,0
3699,0
3702,0
3708,0
3711,0
3715,0
3719,0
3731,0
3741,0
3766,1
3804,1
3805,0
3867,0
3871,1
3883,1
3947,1
3966,0
3974,1
4031,1
4035,1
4062,1
4089,1
4095,0
4100,1
4104,0
4109,0
4129,0
4156,0
4168,1
4208,1
4212,1
4237,1
4239,0
4271,1
4290,1
4309,1
4323,1
4355,1
4369,0
4398,1
4401,1
4410,0
4419,1
4426,1
4437,1
4462,1
4469,1
4485,1
4539,0
4561,0
4577,0
4580,0
4583,0
4586,0
4587,1
4594,0
4613,1
4619,1
4666,0
4668,1
4699,0
4755,0
4777,1
4787,0
4801,1
4808,0
4823,0
4850,0
4868,0
4877,1
4883,1
4899,1
4953,0
4956,0
4960,0
4995,1
5012,1
5056,0
5080,1
5082,0
5103,0
5115,0
5122,1
5124,0
5152,0
5185,1
5204,1
5209,0
5245,1
5262,1
5287,1
5306,1
5311,1
5337,1
5351,1
5354,1
5439,1
5468,1
5479,1
5484,0
5504,1
5542,1
5552,0
5579,1
5594,0
5604,1
5626,0
5652,0
5654,0
5658,1
5662,1
5680,1
5681,1
5730,1
5735,1
5748,1
5768,0
5792,1
5845,1
5886,0
5903,0
5906,0
5914,0
5917,1
5925,0
5942,1
5956,1
5975,1
5984,1
6006,1
6023,1
6040,0
6083,0
6114,1
6160,0
6189,0
6193,1
6201,1
6215,0
6219,1
6279,1
6337,0
6345,1
6374,1
6393,1
6402,0
6408,0
6445,0
6452,1
6472,1
6491,0
6495,1
6499,1
6501,1
6522,0
6530,0
6552,1
6579,0
6582,0
6644,0
6648,0
6703,1
6754,1
6761,1
6787,1
6794,1
6801,1
6846,0
6858,1
6873,1
6887,1
6909,1
6926,1
6943,1
6950,1
6971,0
6990,1
7027,0
7048,1
7091,0
7099,1
7124,0
7167,1
7201,0
7203,1
7205,1
7222,0
7227,0
7229,0
7234,1
7249,1
7287,0
7299,1
7309,1
7325,1
7377,0
7378,1
7388,1
7405,1
7427,1
7432,1
7441,0
7460,1
7493,1
7497,1
7500,1
7502,1
7509,1
7523,1
7533,1
7534,1
7551,1
7587,0
7598,0
7599,1
7609,1
7669,1
7687,1
7782,1
7786,0
7792,1
7807,0
7830,1
7877,0
7907,1
7908,1
7916,1
7923,0
8004,1
8007,1
8031,1
8073,1
8076,1
8080,0
8094,0
8111,1
8117,1
8141,0
8160,0
8163,0
8194,1
8211,0
8217,0
8225,0
8276,1
8305,0
8309,1
8311,1
8323,1
8348,1
8383,0
8425,0
8442,1
8485,1
8493,1
8496,1
8555,0
8557,0
8559,0
8561,0
8563,0
8571,0
8586,1
8591,1
8642,1
8645,1
8670,1
8686,1
8691,1
8695,0
8726,0
8749,0
8750,0
8780,1
8786,0
8788,0
8790,1
8812,1
8835,1
8845,0
8852,1
8911,0
8921,0
8927,0
8928,1
8979,1
8987,1
8994,1
9029,1
9039,0
9062,1
9078,1
9084,1
9117,0
9154,0
9169,1
9190,1
9233,1
9245,1
9266,1
9276,0
9302,1
9340,0
9364,0
9376,0
9384,1
9449,0
9491,1
9518,1
9523,1
9524,1
9552,0
9555,0
9578,1
9582,1
9613,0
9632,0
9646,0
9686,1
9695,0
9715,0
9722,0
9727,0
9751,0
9771,1
9836,1
9862,1
9867,1
9888,0
9896,0
9927,0
9965,1
9979,0
9983,0
9992,0
9997,0
10010,1
10015,0
10023,1
10027,1
10052,1
10084,1
10093,1
10127,0
10135,0
10150,1
10151,0
10206,0
10218,1
10221,0
10256,1
10260,1
10262,1
10263,0
10287,0
10291,1
10333,0
10346,1
10351,1
10362,1
10383,1
10388,0
10400,1
10408,1
10410,1
10417,1
10418,1
10435,1
10502,0
10524,1
10528,1
10588,0
10596,1
10614,1
10615,0
10628,1
10677,1
10687,1
10692,1
10694,1
10724,1
10740,0
10746,1
10774,1
10782,1
10791,1
10801,1
10816,1
10881,1
10901,1
10909,1
10951,0
10960,0
10986,0
11001,1
11017,0
11034,1
11039,1
11081,1
11100,1
11111,0
11132,1
11172,1
11184,1
11208,0
11289,0
11328,1
11340,1
11347,1
11386,1
11388,1
11391,0
11434,1
11477,1
11516,0
11563,0
11678,1
11681,1
11685,0
11695,1
11705,1
11717,1
11718,1
11726,1
11807,1
11817,1
11830,1
11864,1
11880,0
11882,1
11886,1
11900,1
11918,1
11929,1
11942,0
11991,0
12021,0
12027,1
12030,0
12056,0
12058,1
12105,1
12118,1
12119,1
12152,1
12165,1
12217,1
12230,1
12244,1
12246,1
12247,1
12250,1
12257,1
12258,1
12264,1
12267,0
12302,0
12316,1
12342,1
12370,1
12379,0
12392,0
12409,1
12440,1
12457,0
12466,0
12479,0
12489,0
12517,0
12551,1
12599,1
12628,0
12673,1
12676,0
12717,0
