"seller_id","product_category_name","rb"
"66dc1b1632bd6a3e508510c5b3492107",automotivo,895.80
"4e42581f08e8cfc7c090f930bac4552a",moveis_decoracao,109.00
"2c9e548be18521d1c43cde1c582c6de8",artigos_de_festas,109.00
a673821011d0cec28146ea42f5ab767f,cama_mesa_banho,10182.46
"59cea8e446d3834393058e7e0666b6fb",informatica_acessorios,159.60
"4c8545742faaf58fafd5fd14d25d75cf",automotivo,1940.00
"9c3c24eca51c52b91c1de727d2a2ae06",esporte_lazer,248.50
"3d871de0142ce09b7081e2b9d1733cb1",brinquedos,12471.80
"537eb890efff034a88679788b647c564",esporte_lazer,239.20
"515d781150feed28a6ac091bb0e3cb8c",climatizacao,161.99
"4e42581f08e8cfc7c090f930bac4552a",moveis_escritorio,129.00
"5cbbd5a299cab112b7bf23862255e43e",informatica_acessorios,36.00
"9485a23c0430ba1d58d359391606fce6",automotivo,1129.90
"4ebdc7e6cd6102a022dadc49156d4ea8",utilidades_domesticas,150.00
"11305281b50fff20ae8bb473f8e11876",automotivo,279.98
"3bb548e3cb7f70f28e3f11ee9dce0e59",informatica_acessorios,7690.02
b5f49fe968dff6b112861e6cd8e192ef,moveis_decoracao,194.70
e067ad2c1c0b48758eb1b5228bcf7a68,pet_shop,5042.55
"1025f0e2d44d7041d6cf58b6550e0bfa",casa_construcao,10227.50
ec5c1d94df153d473b37f880977ae58e,beleza_saude,113.09
d594982fd877af63ace38ea1fca27c76,telefonia,53.90
"77e4abfd739aed9c46480f90f81c0eb4",automotivo,289.99
a414555ce331b8c8aea4a9cb8395194d,utilidades_domesticas,45.99
"8c16d1f32a54d92897cc437244442e1b",sinalizacao_e_seguranca,124.98
c1dde11f12d05c478f5de2d7319ad3b2,informatica_acessorios,12.50
"93b9a99027bd8bd6af682aff18dd19bf",,214.00
"710e3548e02bc1d2831dfc4f1b5b14d4",construcao_ferramentas_jardim,579.98
ff4e2d38692ce827b1a4f4b8196e680d,livros_interesse_geral,273.90
"9c7fd21e0aa159b20da593371f08ff7c",ferramentas_jardim,60.00
"903037660cf848a717166eb7a06d616e",cool_stuff,69.99
f61c63d13f7cd800549d5acdd390ae72,utilidades_domesticas,1014.30
dd2bdf855a9172734fbc3744021ae9b9,utilidades_domesticas,652.20
"994f04b3718c2bab35c2adfa8afecd2a",relogios_presentes,89.90
"7b3447b497e55af8c15fc7bd89d7b81a",esporte_lazer,49.90
"7ecef8194babfec876ca720714327841",casa_construcao,129.90
"8d956fec2e4337affcb520f56fd8cbfd",beleza_saude,432.51
d71d863e5ef30d94e440c11be17dcd8f,cool_stuff,787.00
ed859002ad59dbf8cf3602696a6c3000,climatizacao,1706.90
"365e445f796710c3431557e85caa25db",,687.00
"612170e34b97004b3ba37eae81836b4c",telefonia_fixa,1168.99
"0ea22c1cfbdc755f86b9b54b39c16043",instrumentos_musicais,24.90
"3442f8959a84dea7ee197c632cb2df15",esporte_lazer,218.70
"4371b634e0efc0e22b09b52907d9d469",alimentos,250.00
"2a1348e9addc1af5aaa619b1a3679d6b",ferramentas_jardim,89.90
c847e075301870dd144a116762eaff9a,instrumentos_musicais,2109.50
a7f13822ceb966b076af67121f87b063,automotivo,372.95
ea65d8b58316a6f2362f2a9e4b3e86ad,construcao_ferramentas_construcao,263.30
a1bea7061f61f6fdd9a85a6325ba1033,cool_stuff,55.90
"1b45169b635ef59425637e9a33eb5fb3",automotivo,33.00
"0ea22c1cfbdc755f86b9b54b39c16043",,169.40
f2336e113377dd21c744d9c4fc8293a9,moveis_decoracao,105.00
febab0275244b9a49a623f0bd613ca2f,instrumentos_musicais,67.60
"53e4c6e0f4312d4d2107a8c9cddf45cd",utilidades_domesticas,27171.58
cb5df0dcb9e280b1780e9d589889f2c7,moveis_sala,935.94
e433f5fd4050e3352b5d83522b7fe24b,casa_construcao,548.06
"63b464dbf392c7b80d12d932fa7cafed",moveis_decoracao,6781.00
c840d3fdbba0790404fdae73d253b253,moveis_decoracao,4313.28
"7d456afc660226829370f3173d14520c",beleza_saude,80.00
"700f03c207639c22d933381ff60b35c2",pet_shop,1189.86
"1900267e848ceeba8fa32d80c1a5f5a8",pet_shop,255.96
"9558aa23f77a9e0a0eca83540999f43b",fashion_bolsas_e_acessorios,125.70
"1b938a7ec6ac5061a66a3766e0e75f90",pet_shop,289.90
"6d1b9c9579132c87d2703ec38c30f2c5",bebes,159.80
"79ed755314cfe6df0daef2c6cd3022cd",construcao_ferramentas_iluminacao,99.90
dee656f0f566ed1aa85bd137c943f08f,construcao_ferramentas_iluminacao,598.90
ea00f977a203ff88adf7057cb7806998,automotivo,389.72
"8a207b6080964f3c1fc9d35bd6096ba4",moveis_sala,83.90
dfa0c4c6229ab200a4a1336b4d7128ff,automotivo,478.80
"52d76513f0c4d97f3b99570e2c94ee31",climatizacao,229.90
"16090f2ca825584b5a147ab24aa30c86",ferramentas_jardim,239.45
"723cd880edaacdb998898b67c8f9da30",moveis_sala,399.96
d98eec89afa3380e14463da2aabaea72,fashion_roupa_infanto_juvenil,119.97
"9996ae921c50e8dff411ac69c0b4bb8b",moveis_decoracao,29.70
"715bbd5ba4e6b74cb0d2f29eb45058b0",papelaria,64.90
"6d1b9c9579132c87d2703ec38c30f2c5",brinquedos,139.89
"7040e82f899a04d1b434b795a43b4617",perfumaria,1467.10
"2be17df1c49978426251562096c3cc09",ferramentas_jardim,59.00
"8b28d096634035667e8263d57ba3368c",portateis_casa_forno_e_cafe,46.80
b18871c324516afa228a13e8f1ef0ae9,ferramentas_jardim,1064.60
"744dac408745240a2c2528fb1b6028f3",audio,298.00
"20d83f3ef0e6925fd74bfd59170babf7",fashion_bolsas_e_acessorios,2903.60
"4c2b230173bb36f9b240f2b8ac11786e",esporte_lazer,14562.28
"0be8ff43f22e456b4e0371b2245e4d01",moveis_colchao_e_estofado,129.90
"6bb0724edf0b62fb91ac404873a97241",eletronicos,3653.00
"7c67e1448b00f6e969d365cea6b010ab",automotivo,239.95
c42fd8e4d47dfb18ce5222f2dd7752f9,moveis_decoracao,328.00
dbbcfe2c8d026742134ac3e28ccde274,esporte_lazer,308.59
e5d4b2b0c3bca22085f7a19a28de0c42,utilidades_domesticas,107.90
b6dc74ed30f124f95227bed4e43a3bed,esporte_lazer,518.96
e2c92f9c1c7746d899d18f2e158bbff7,automotivo,1894.70
"8def3db7f272735afb2ecd03aeca09a7",fashion_bolsas_e_acessorios,196.00
c4b911d06343b21dd906651f8101cb49,,32.99
"296729ffb9b684050dd24836dac4494a",cama_mesa_banho,59.00
"33cbda8716511e27e556dff9d8418bf2",casa_conforto,120.70
c161d1327ebc3a156c09582ab2f59f6c,perfumaria,30.99
"377bc18334c78dd2f1535ef22a3ad225",ferramentas_jardim,135.98
"5d9f3746e112e696f98ea22c56b3e912",ferramentas_jardim,1322.64
"8d956fec2e4337affcb520f56fd8cbfd",eletronicos,356.58
b3e2faf2c1004d674f16a3aa3197f0e1,automotivo,48.98
"2ff97219cb8622eaf3cd89b7d9c09824",cine_foto,119.90
"1e8c6a4c538f286aee9573239740a4b4",utilidades_domesticas,110.00
bc302730ea8cf49b5c74f579febb5bbf,telefonia,161.93
"918717417d88a9f9ae9735567e6c7682",beleza_saude,215.80
bbad7e518d7af88a0897397ffdca1979,cool_stuff,1347.60
"6edacfd9f9074789dad6d62ba7950b9c",malas_acessorios,79.80
e8a85b5f3df47be0984c55fd4064dbb4,esporte_lazer,45.00
"0ef83d7d83ed97cd2a0049ac8be5f88a",esporte_lazer,2672.06
"1de62b6f2fd96227629786db492433db",esporte_lazer,208.80
"430315b7bb4b6e4b3c978f9dfa9b0558",utilidades_domesticas,912.40
"39f776d2974049026ff531fc42ef2a3e",construcao_ferramentas_seguranca,1084.04
